"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_analise_de_big_data_comercializacao_nao_se_aplica"
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,78.9915141487021,8.4601041705902,66.5314099781119,74.9915141487021,4,0,8.4601041705902,60.5996651840529,69.0597693546431,4.22974350858413,5.70200128547484,2,62.708551710952,64.708551710952,14.2829624377501,0,6.70200128547484,62.2362939340613,68.9382952195361,9.05321892916596,1,16.0406990198364,56.7210716202815,72.761770640118,5.22974350858413,1
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,27.1453776283593,9.65020609957212,15.4951715287872,25.1453776283593,1,1,3.10198655047538,16.6047044895609,19.7066910400363,4.16457681377465,3.27410977454837,3.10198655047538,16.7692813033355,19.8712678538109,4,3.27410977454837,6.48562928579747,15.3856385680135,21.8712678538109,5.27410977454837,0,9.58761583627285,11.2836520175381,20.8712678538109,6.27410977454837,0
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,40.9327685493979,7.13480356279222,22.8961351967243,30.0309387595166,10.9018297898813,0,2,33.9289660792077,35.9289660792077,5.00380247019016,0,11.3124551759316,23.6165109032761,34.9289660792077,6.00380247019016,0,19.9684152592928,10.0625235002237,30.0309387595166,10.9018297898813,0,14.7473667884263,19.2873744412804,34.0347412297067,6.89802731969114,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,296.410393757728,40.0734303910132,239.969199711331,280.042630102345,16.367763655383,0,45.1061786746965,212.628914240188,257.735092914884,38.6753008428435,0,74.8092413888802,165.309192630156,240.118434019036,55.2919597386912,1,95.2446535067585,176.241375728444,271.486029235203,24.9243645225252,0,75.8092413888802,202.984493473,278.79373486188,17.6166588958477,0
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,56.6366170142718,4,33.8465126087756,37.8465126087756,18.7901044054962,0,11.6420615275535,20.8032441613137,32.4453056888672,24.1913113254046,0,7.51464918507377,30.8456822872787,38.3603314723524,18.2762855419193,0,14.2285451733246,37.4072415194503,51.6357866927749,5.00083032149691,0,13.6420615275535,41.9945554867183,55.6366170142718,1,0
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,119.246560747983,27.3897656619818,63.4211009530087,90.8108666149905,0,28.4356941329921,29.8271633345234,81.9702793295453,111.797442664069,7.44911808391383,0,16.642121093468,66.7196274376086,83.3617485310766,7.44911808391383,28.4356941329921,30.3897656619818,67.2226347610315,97.6124004230133,7.44911808391383,14.1850422410554,31.3897656619818,50.9719828690948,82.3617485310766,8.44911808391383,28.4356941329921
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,106.988135363234,3,74.8861739815689,77.886173981569,12.0985235917632,17.0034377899021,12.672294952238,74.1556966380035,86.8279915902415,14.4657059149166,5.69443785807616,4,74.4968487525775,78.4968487525775,28.4912866106568,0,5.6137203565706,80.577566254083,86.1912866106536,20.7968487525807,0,18.3311428376641,73.9009344862645,92.2320773239286,9.06162018122951,5.69443785807616
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,115.239818896008,37.824424327544,76.4153945684644,114.239818896008,1,0,50.2837491025188,50.9764053899803,101.260154492499,13.9796644035093,0,34.824424327544,41.9528559388538,76.7772802663978,38.4625386296106,0,53.9710769210915,32.0396042089489,86.0106811300404,16.9796644035093,12.2494733624587,60.5332224649775,38.7269320275216,99.2601544924991,15.9796644035093,0
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,153.467831636836,4,99.914262947749,103.914262947749,36.0352087044069,13.5183599846796,23.1928645014003,116.105832880472,139.298697381872,14.1691342549633,0,23.0127829556711,67.616627900285,90.6294108559561,49.3200607961999,13.5183599846796,34.5978890193541,114.015459938657,148.613348958011,4.85448267882448,0,9.24769872988441,136.613565654286,145.86126438417,7.60656725266537,0
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,67.6282801563687,21.7593605889642,37.5644795056057,59.32384009457,8.30444006179877,0,20.7593605889642,14.5894332732521,35.3487938622164,32.2794862941524,0,14.4452058802874,22.6185947704756,37.063800650763,24.5124681055265,6.05201140007925,22.7593605889642,21.2662983684068,44.025658957371,23.6026211989977,0,25.1352237880091,32.4410449682804,57.5762687562895,10.0520114000792,0
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,120.91360742724,3,85.9878942003945,88.9878942003945,28.168710826166,3.75700240067924,6.75700240067924,70.307175556101,77.0641779567802,43.8494294704595,0,11.221447217046,71.5834959906257,82.8049432076717,28.2017279188737,9.9069363006944,32.5852525523455,78.7223661299723,111.307618682318,9.60598874492196,0,33.5852525523455,59.8256794002481,93.4109319525937,27.5026754746461,0
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,285.943620195746,52.7667035499883,185.096707077064,237.863410627052,48.0802095686945,0,59.8863473307499,163.811903278204,223.698250608954,62.2453695867927,0,83.128210597522,132.124989446403,215.253200043925,70.6904201518216,0,110.058122022306,152.183722467451,262.241844489757,23.701775705989,0,72.2920764813933,165.798959100189,238.091035581582,36.1359470339869,11.7166375801772
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,169.938588041052,29.7009663315952,109.150355948865,138.851322280461,31.0872657605913,0,48.4607318839349,84.5570914718561,133.017823355791,36.9207646852609,0,48.4607318839349,80.3102377020722,128.770969586007,41.1676184550448,0,59.4326030045399,90.5904955063937,150.023098510934,19.9154895301183,0,44.0628986784349,104.862495356202,148.925394034637,3,18.0131940064149
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,40.9839315127628,4.66552112643827,36.3184103863245,40.9839315127628,0,0,14.6586703249154,18.912799282342,33.5714696072574,5.42661085101524,1.98585105449016,4.66552112643827,9.98585105449118,14.6513721809294,26.3325593318333,0,6.65137218092843,27.9059484808191,34.5573206617476,6.42661085101524,0,0,23.6445213794066,23.6445213794066,17.3394101333562,0
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,80.6689457167661,40.552987914803,37.1159578019631,77.6689457167661,2,1,45.8183143783433,33.8506313384228,79.6689457167661,1,0,44.9176351887711,34.751310527995,79.6689457167661,1,0,50.6630203348843,30.0059253818818,80.6689457167661,0,0,50.439992803781,24.864305639017,75.304298442798,1,4.36464727396808
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,72.8225936935803,1,64.0771518902254,65.0771518902254,7.7454418033549,0,15.3929051902315,45.8915271959608,61.2844323861923,3.79271950403312,7.7454418033549,16.3929051902315,44.8915271959608,61.2844323861923,11.538161307388,0,18.3929051902315,42.8915271959608,61.2844323861923,11.538161307388,0,25.4930784819871,46.3295152115932,71.8225936935803,1,0
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,18.4461975875847,0,17.4461975875847,17.4461975875847,0,1,1,15.4461975875847,16.4461975875847,0,2,1,17.4461975875847,18.4461975875847,0,0,4.64708323249936,13.7991143550854,18.4461975875847,0,0,0,17.4461975875847,17.4461975875847,0,1
