"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_robotica_comercializacao_nao_se_aplica"
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,55.2607165992985,2,16.5803439988533,18.5803439988533,36.6803726004451,0,9,46.2607165992985,55.2607165992985,0,0,4,17.0300783245305,21.0300783245305,33.230638274768,1,2,11.8387893101188,13.8387893101188,40.4219272891796,1,2,7.98802954521402,9.98802954521402,43.2726870540844,2
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,15.3595592916388,3.00288530025154,6.07213250628897,9.07501780654051,6.28454148509825,0,0,10.5586512596466,10.5586512596466,4.80090803199214,0,0,1,1,14.3595592916388,0,0,1,1,14.3595592916388,0,0,0,0,15.3595592916388,0
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,55.2806269474405,11.261872988966,26.2132011492238,37.4750741381897,17.8055528092508,0,10.261872988966,45.0187539584746,55.2806269474405,0,0,1.9566031422728,34.079902120684,36.0365052629568,19.2441216844838,0,6.66748178547746,24.7435803294499,31.4110621149274,23.8695648325132,0,2.9566031422728,16.199091096266,19.1556942385388,36.1249327089017,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,190.117408007094,13.3746182757538,78.3178534020037,91.6924716777575,84.0788157383413,14.3461205909948,34.9186978418911,131.863127419301,166.781825261192,9.03274828368332,14.3028344622183,16.6407375424655,78.3980231655038,95.0387607079693,95.0786472991243,0,15.3028344622183,41.0584735077789,56.3613079699972,133.756100037096,0,3,30.9824390953191,33.9824390953191,156.134968911775,0
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,50.8285510807996,0,19.4142992521751,19.4142992521751,31.4142518286245,0,19.856461698051,21.6104797732889,41.4669414713399,9.36160960945977,0,3,19.9166864264791,22.9166864264791,27.9118646543206,0,0,19.8107318234757,19.8107318234757,31.0178192573239,0,0,9.77324297163136,9.77324297163136,41.0553081091683,0
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,314.668675710859,37.856927686433,90.8223530212268,128.67928070766,185.989395003199,0,79.6151320142247,228.512025783245,308.12715779747,0,6.54151791338988,27.3022861274734,90.5380445340747,117.840330661548,196.828345049311,0,27.3022861274734,66.9560613320974,94.2583474595708,220.410328251289,0,12.642121093468,39.4085950720779,52.0507161655459,262.617959545313,0
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,131.179955300681,9.33505664586018,30.1501610015377,39.4852176473979,81.4638548526502,10.2308828006328,16.3350566458602,109.150460796745,125.485517442605,0,5.69443785807616,1,32.7920667217506,33.7920667217506,97.3878885789304,0,0,25.9713121126089,25.9713121126089,105.208643188072,0,0,16.9383490157261,16.9383490157261,108.547168426879,5.69443785807616
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,85.6059241455415,4,24.9796644035093,28.9796644035093,56.6262597420322,0,5,74.6862608345401,79.6862608345401,5.9196633110013,0,3,35.5695870142093,38.5695870142093,47.0363371313322,0,3,20.8993277145106,23.8993277145106,61.7065964310308,0,2,18.8993277145106,20.8993277145106,64.7065964310308,0
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,229.320443254713,15.5815325085272,107.513569777454,123.095102285981,93.4411878530905,12.7841531156415,44.6764435652515,156.991069674372,201.667513239624,27.6529300150892,0,1,33.459528737514,34.459528737514,168.541714897127,26.3191996200719,0,42.6596536618751,42.6596536618751,186.660789592838,0,2.48857042935738,44.2615595579583,46.7501299873156,169.202131960475,13.3681813069218
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,66.8966414241897,13.1303693906689,30.3543300404981,43.4846994311671,23.4119419930226,0,21.4348094524677,44.461831971722,65.8966414241897,1,0,1,15.3820987148575,16.3820987148575,40.6012400805252,9.91330262880701,0,1,1,65.8966414241897,0,0,1,1,65.8966414241897,0
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,146.135903179914,8.61221337437541,83.0649921464785,91.6772055208539,50.7016952583811,3.75700240067924,37.309237860317,97.8969958430955,135.206233703412,10.9296694765017,0,3.75700240067924,26.3294656056914,30.0864680063707,115.049435173544,1,3.75700240067924,17.3007448510666,21.0577472517459,125.078155928168,0,3.75700240067924,9.37107537456493,13.1280777752442,123.387222058835,9.62060334583539
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,291.520089946211,12.3596802651181,190.003224258028,202.362904523146,77.3629484265707,11.7942369964944,37.10490726746,230.095719995662,267.200627263122,24.3194626830891,0,0,95.7522615263072,95.7522615263072,195.767828419904,0,12.0839414840786,81.8276487568303,93.911590240909,197.608499705302,0,0,76.8871525846355,76.8871525846355,214.632937361576,0
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,292.701615735476,26.1722391654106,158.050323117975,184.222562283385,94.6124895961243,13.8665638559664,65.9382626177169,176.381313698367,242.319576316083,11.5031627890545,38.8788766303382,23.7386519732578,79.8706633136569,103.609315286915,176.208825426773,12.883475021788,25.3130289916038,68.8510638138735,94.1640928054773,198.537522929999,0,0,77.2544435996145,77.2544435996145,210.029005070542,5.41816706531925
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,52.7261609632925,12.9790002529673,23.8343614279837,36.813361680951,15.9127992823415,0,10.9931491984771,39.7471607103252,50.7403099088023,0,1.98585105449016,0,6.92306426470206,6.92306426470206,45.8030966985904,0,0,5.92306426470155,5.92306426470155,46.8030966985909,0,0,3.38118221621462,3.38118221621462,49.3449787470779,0
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,147.43721224396,10.2707507066391,70.6165731900028,80.8873238966419,66.5498883473181,0,21.6412781079137,121.431286862078,143.072564969992,4.36464727396808,0,1,38.3439536919575,39.3439536919575,108.093258552002,0,17.2810064320849,16.0570671325661,33.3380735646509,114.099138679309,0,9.2707507066391,29.7887779780851,39.0595286847241,104.013036285268,4.36464727396808
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,69.2052794162177,1,35.6887986994176,36.6887986994176,32.5164807168001,0,14.2104668955626,53.9948125206551,68.2052794162177,1,0,2.69474108755485,11.7092263612753,14.4039674488301,54.8013119673876,0,0,9.96043590945553,9.96043590945553,59.2448435067622,0,0,8.96043590945553,8.96043590945553,60.2448435067622,0
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,32.912656051619,16.2552721792576,11,27.2552721792576,5.65738387236136,0,16.2552721792576,16.6573838723614,32.912656051619,0,0,0,27.912656051619,27.912656051619,5,0,2,6,8,24.912656051619,0,2,5,7,24.912656051619,1
