"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_computacao_em_nuvem_comercializacao_nao_se_aplica"
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,197.53899633851,52.5174458480549,108.176556066499,160.694001914554,36.8449944239557,0,22.9524367301273,143.257221500114,166.209658230241,24.6273368227937,6.70200128547484,38.6743296467341,106.281482005225,144.95581165196,50.5831846865504,2,70.3817357411093,126.157260597401,196.53899633851,0,1,23.9524367301273,142.817741566714,166.770178296841,28.7688180416687,2
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,77.7624012123757,14.6777264634101,37.960157416381,52.6378838797911,23.1245173325846,2,13.6777264634101,40.0407258005285,53.7184522639385,17.7565221630873,6.28742678534979,18.5896147942893,30.3971766436945,48.9867914379838,23.2131868722586,5.56242290213325,27.6205752036069,39.0847831977514,66.7053584013583,11.0570428110174,0,14.3520128813404,49.1082003220957,63.4602132034362,14.3021880089395,0
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,119.475154194259,31.9756154932236,73.0728951278465,105.04851062107,12.4266435731886,2,27.8802771217303,61.3317590483076,89.2120361700379,24.4419826501874,5.82113537403342,33.8791933051412,53.9483831366081,87.8275764417492,31.6475777525094,0,47.62005498099,60.1587193182575,107.778774299248,11.6963798950112,0,39.6365921661236,60.9793047783894,100.615896944513,18.8592572497456,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,604.696482915671,243.374015440655,268.82495181597,512.198967256625,76.1513950680516,16.3461205909948,177.837747938857,307.90903529996,485.746783238817,104.646865214635,14.3028344622183,203.657864051265,319.325751764753,522.983615816018,80.7128670996529,1,304.617817886111,275.132657442647,579.750475328758,24.9460075869134,0,257.355887161772,266.954810202299,524.310697364071,65.7150189947816,14.6707665568183
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,103.090193263247,42.8840014606199,41.7466905698989,84.6306920305188,12.7682936975107,5.69120753521776,42.9225461005081,41.3516130966337,84.2741591971418,8.46756421246312,10.3484698536423,35.3746545181759,53.409732483941,88.7843870021169,8.61459872591263,5.69120753521776,58.5644327025488,44.5257605606985,103.090193263247,0,0,59.892974840263,37.5060108877665,97.3989857280295,5.69120753521776,0
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,573.568212152113,144.590949403377,246.471736776545,391.062686179921,139.737715059601,42.7678109125913,101.61045430136,315.353517096887,416.963971398247,123.103245852312,33.5009949015539,105.732927365065,289.278601166558,395.011528531624,164.306031728553,14.2506518919367,203.897237755827,357.924424179651,561.821661935478,11.7465502166357,0,172.600180805641,259.679977258241,432.280158063882,127.037402196295,14.2506518919367
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,352.919485227003,47.1917669265371,237.948318534437,285.140085460974,39.2872714381931,28.492128327836,38.5585305398956,215.702728240018,254.261258779914,67.6661113719807,30.9921150751086,60.1817576496272,232.807712999381,292.989470649008,49.4413240400617,10.4886905379339,141.336533054087,201.133320200579,342.469853254666,10.4496319723374,0,97.5467010037636,216.324249707527,313.87095071129,39.0485345157132,0
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,248.281542557661,103.496804692765,115.150947947573,218.647752640338,29.6337899173236,0,95.3694126475879,96.8629180063857,192.232330653974,56.0492119036876,0,104.139182092506,96.78047638004,200.919658472546,47.3618840851149,0,128.689508558345,103.342560636858,232.032069195202,4,12.2494733624587,144.626309739376,77.0342483221605,221.660558061537,26.6209844961243,0
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,452.161077838958,106.853576177631,186.231498052272,293.085074229902,139.76752465445,19.3084789546044,90.7809874860169,220.597173747417,311.378161233434,126.947512745578,13.835403859946,92.1193792376165,187.398466633406,279.517845871022,145.48970636032,27.1535256076151,191.585695289447,244.389561774796,435.975257064243,16.1858207747142,0,152.448969514232,183.924200353696,336.373169867928,88.5843228041621,27.2035851668678
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,160.213593482986,41.2919397691885,111.545790514753,152.837730283941,7.37586319904484,0,28.3883517872595,93.383479833326,121.771831620586,31.0291380884364,7.41262377396427,28.9777850605116,93.0645058404876,122.042290900999,32.1192911819076,6.05201140007925,59.3474654135117,86.1573802055276,145.504845619039,14.7087478639468,0,46.0194000327712,99.5055742175551,145.524974250326,14.6886192326598,0
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,297.357808555097,80.2795747336707,170.822309491051,251.101884224722,32.5546378522803,13.7012864780944,81.600853072608,133.381574568444,214.982427641052,72.1055221596098,10.2698587544353,77.0836660348389,146.168620360648,223.252286395487,63.1985858589155,10.9069363006944,117.198826280427,156.484216863264,273.68304314369,23.6747654114062,0,120.813442047444,136.192670342833,257.006112390278,29.7310928189836,10.6206033458354
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,562.419215433151,163.479405503342,284.425779989367,447.905185492709,91.0755814856669,23.4384484547755,130.771798493856,278.492522052577,409.264320546433,129.395702177831,23.7591927088866,143.762620678354,263.027310958052,406.789931636406,143.985072338464,11.6442114582811,228.809612741857,319.8153656948,548.624978436657,13.7942369964944,0,170.476807914169,307.546739788279,478.023547702448,72.6790301505256,11.7166375801772
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,365.033576823575,59.8132089812877,216.823767930583,276.636976911871,62.0883608213897,26.3082390903148,32.5847127784816,207.959745536571,240.544458315053,85.9660178378381,38.5231006706843,60.3241214306914,216.909498014354,277.233619445046,74.9164823567414,12.883475021788,92.5521770174758,245.555110859513,338.107287876989,14.4846137122376,12.4416752343484,91.8225166373728,205.582438422124,297.404955059497,49.6154277576629,18.0131940064149
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,101.022069483524,34.8373806259993,53.6775231190137,88.5149037450129,12.5071657385109,0,11.9931491984771,64.5733966289332,76.5665458274103,13.5071657385109,10.9483579176026,28.5228317629775,55.6119595023135,84.1347912652911,16.8872782182328,0,36.8750787342469,62.6051087007901,99.480187435037,1.54188204848693,0,37.8373806259998,48.1564134063519,85.9937940323517,15.0282754511722,0
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,280.094853590321,40.3967821029285,179.224804700541,219.62158680347,49.7474360686388,10.7258307182124,11.8445690799968,169.419207599802,181.263776679799,91.6745520909843,7.15652481953804,54.3316470439865,110.16263233254,164.494279376526,105.917179304564,9.68339490923129,53.4973336894354,195.775923823938,249.273257513373,21.1382011677163,9.68339490923129,69.6550892850525,177.598750676964,247.253839962017,18.7929714451048,14.0480421831994
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,175.026557087741,36.9117678200637,100.10501824225,137.016786062314,29.2001347568707,8.80963626855692,33.1912177957781,85.76373092548,118.954948721258,47.2619720979264,8.80963626855692,59.4352568159766,75.618686634964,135.053943450941,39.9726136368009,0,77.3201993861055,86.5567118339249,163.87691122003,11.1496458677111,0,58.0218495972304,75.2842453484376,133.306094945668,41.7204621420736,0
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,260.360251494712,25.3123305581873,166.130073276163,191.442403834351,11.0000000000027,57.9178476603586,39.6629803407912,138.779317748338,178.442298089129,22.7294883513967,59.1884650541862,36.7117704067056,127.098959866131,163.810730272837,64.2709346294979,32.2785865923772,85.972639054393,154.614314141303,240.586953195696,19.7732982990161,0,36.8073182116878,177.972827377232,214.78014558892,23.7732982990161,21.806807606776
