"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_internet_das_coisas_comercializacao_nao_se_aplica"
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,117.005891289278,27.7038795081097,48.644345783451,76.3482252915607,40.657665997717,0,21.112847115072,88.1694351950899,109.282282310162,7.7236089791158,0,17.3277107360266,50.0616685686667,67.3893793046933,48.6165119845844,1,18.6783112262958,54.3026499259787,72.9809611522745,43.0249301370032,1,4,40.0084496395007,44.0084496395007,61.6697309137504,11.3277107360266
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,37.5362320516477,12.2708897519648,14.6530913998237,26.9239811517885,9.61225089985924,1,13.2708897519648,14.4847398182373,27.7556295702021,3.49317569609582,6.28742678534979,11.5511048493483,14.9295286040703,26.4806334534186,5.49317569609582,5.56242290213325,10.1689032014894,19.7095763402878,29.8784795417772,7.65775250987047,0,12.2708897519648,19.1007654859082,31.371655237873,6.16457681377465,0
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,104.461029236609,16.5358164874282,49.8359427613873,66.3717592488155,36.089269987793,2,18.5358164874282,70.7229993993851,89.2588158868133,10.164236681535,5.03797666826026,15.9414252839397,51.0475079670777,66.9889332510174,37.4720959855911,0,18.8915233136351,46.1915192848346,65.0830425984697,39.3779866381388,0,22.2545595700108,34.2045284034681,56.4590879734789,48.0019412631296,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,367.336176715758,119.752928641448,146.608849185303,266.361777826751,85.6282782980117,15.3461205909948,92.419497790675,223.972991672515,316.39248946319,50.9436872525678,0,85.4652195016811,173.10828624371,258.573505745391,107.762670970366,1,104.105052791511,166.859843129563,270.964895921074,96.3712807946835,0,55.3465195259798,158.002222816898,213.348742342878,139.316667816062,14.6707665568183
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,89.3353922900631,21.4441255163446,36.3603314723524,57.804456988697,25.8397277661483,5.69120753521776,19.4658087223679,58.5211137140528,77.9869224364208,1,10.3484698536423,6.75279047916469,52.2650583155366,59.0178487947013,24.626335960144,5.69120753521776,14.6800782734198,32.1641509512387,46.8442292246585,42.4911630654046,0,12.0935946276487,40.8940780518575,52.9876726795062,36.3477196105569,0
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,306.311648574102,51.9205912156615,193.611834916797,245.532426132458,32.76999103938,28.009231402264,78.365031586711,169.351099852821,247.716131439532,11.8717548715523,46.7237622630177,52.9205912156615,115.054109202851,167.974700418513,124.086296263653,14.2506518919367,79.3065309345536,143.607590109717,222.91412104427,83.397527529832,0,66.7338454350565,111.010369435597,177.744214870654,114.316781811512,14.2506518919367
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,195.963193656131,25.2963902846036,65.2971969011489,90.5935871857525,68.5945084192961,36.7750980510825,20.1662127362517,140.042712336751,160.208925073003,1,34.754268583128,34.584560748475,100.127008750612,134.711569499087,42.4799638958633,18.7716602611804,53.1557009355929,91.9234430909878,145.079144026581,50.8840496295504,0,42.8675304717215,94.2372250536438,137.104755525365,53.1640002726896,5.69443785807616
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,126.145575932609,16.7773076842973,90.3447187971853,107.122026481483,19.0235494511265,0,24.7773076842973,101.368268248312,126.145575932609,0,0,18.7773076842973,77.8736539722252,96.6509616565225,29.4946142760866,0,18.7773076842973,64.4079176161539,83.1852253004512,30.7108772696992,12.2494733624587,16.7773076842973,70.5374323396714,87.3147400239687,38.8308359086404,0
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,284.009989855536,41.1855941494158,107.711322260735,148.89691641015,103.286234506101,31.8268389392841,59.8432988337365,169.477144420976,229.320443254713,40.8541427408768,13.835403859946,31.9257668727373,124.436964209111,156.362731081848,100.593852284578,27.05340648911,57.8432988337365,166.678677226664,224.521976060401,59.488013795135,0,66.3402075584574,67.958489823415,134.298697381872,122.507707306796,27.2035851668678
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,125.60054074299,21.8716818043496,69.8023683840878,91.6740501884375,27.4237136871171,6.50277686743553,17.4708706898562,77.2447769142515,94.7156476041078,23.4722693649181,7.41262377396427,10.5804355204943,62.5166582785143,73.0970937990085,46.4514355439023,6.05201140007925,24.6588110676733,51.6442537278466,76.3030647955199,49.2974759474702,0,18.6338455956354,34.8210866359216,53.454932231557,72.1456085114331,0
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,163.597374295098,26.7868430874986,71.0565678290884,97.843410916587,52.0526769004171,13.7012864780944,21.9605899190632,113.534650528417,135.49524044748,27.1021338476184,1,19.9605899190632,61.4843760206423,81.4449659397054,82.152408355393,0,38.4735149646795,52.0902960737039,90.5638110383835,73.033563256715,0,32.0150233812001,58.1896530943233,90.2046764755234,72.392697819575,1
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,475.562081086513,68.7819852746836,344.581796639091,413.363781913775,50.404062176243,11.7942369964944,38.3066657498847,346.80594972073,385.112615470615,78.3344843652924,12.1149812506055,71.0928937042174,243.227389902871,314.320283607089,161.241797479424,0,72.5517627309807,275.471976119702,348.023738850683,127.53834223583,0,72.5052030811903,265.793616541457,338.298819622647,137.263261463865,0
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,192.469269181162,48.8961038590901,72.7108614757092,121.606965334799,44.5540647560481,26.3082390903148,63.3142709244093,69.5027437705544,132.817014694964,22.1291538155141,37.5231006706843,49.8961038590901,72.1035887169896,121.99969257608,58.5861015832945,11.883475021788,49.8961038590901,83.9980100272525,133.894113886343,46.1334800604711,12.4416752343484,39.631875988547,73.8545318670977,113.486407855645,73.5646942601982,5.41816706531925
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,51.2575356583148,7.31454886302172,23.0010472966462,30.315596159668,20.9419394986468,0,1,47.2716846038241,48.2716846038241,0,2.98585105449067,2,19.3471032601648,21.3471032601648,28.9104323981495,1.00000000000051,9.31454886302172,37.4011047468056,46.7156536098273,4.54188204848744,0,7.31454886302172,11.0467033426534,18.3612522056751,32.8962834526397,0
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,186.070103417834,21.034960643357,116.814576795532,137.849537438889,47.2205659789456,1,12.0197365590202,129.369296625196,141.389033184216,37.5245454140797,7.15652481953804,39.4631479379496,67.8677242141658,107.330872152115,78.7392312657187,0,38.4631479379496,112.32576691668,150.78891485463,35.2811885632043,0,56.9667260169301,84.2814623162929,141.248188333223,40.4572678106431,4.36464727396808
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,110.343439372049,17.8680505944907,70.9215140566057,88.7895646510964,12.7442384523961,8.80963626855692,14.0753310904576,68.2897392944083,82.365070384866,19.1687327186265,8.80963626855692,30.9175727482176,44.7641050009895,75.6816777492071,34.6617616228423,0,30.9175727482176,64.2064827671766,95.1240555153942,15.2193838566552,0,35.9096225225578,40.5017836164393,76.4114061389971,33.9320332330523,0
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,123.503614490994,43.7014053104281,49.3715270091868,93.0729323196148,28.4306821713788,2,24.2708933406878,54.0289108815495,78.2998042222373,22.7732982990161,22.4305119697402,30.2296263248255,73.1551259480649,103.38475227289,6.64708323250069,13.4717789856025,64.570081212789,52.2761494058432,116.846230618632,6.65738387236136,0,39.9022909553427,50.5235581317727,90.4258490871155,30.0777654038768,3.00000000000133
