"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_projeto_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_producao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_logistica_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_administracao_nao_se_aplica","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_abrangente","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_localizada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_nao_utilizou","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_que_utilizaram_inteligencia_artificial_comercializacao_nao_se_aplica"
"Fabricação de celulose, papel e produtos de papel","categoria_detalhe",303.999999999996,223.429105363771,100.695943111355,2,55.5778743388974,57.5778743388974,43.1180687724579,0,13.3277107360266,51.4800902629695,64.8078009989961,30.1861408268844,5.70200128547484,12.3277107360266,36.8512205291813,49.1789312652079,51.5170118461475,0,7.70200128547484,82.6662310898539,90.3682323753287,9.32771073602657,1,2,72.1788425749407,74.1788425749407,16.189389800388,10.3277107360266
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,34.8500697103791,4.90522513749092,21.921982193772,26.8272073312629,7.0228623791162,1,0,28.8874701648639,28.8874701648639,5.96259954551525,0,0,12.0347320518042,12.0347320518042,22.8153376585749,0,3.73310503874301,19.4890662059521,23.2221712446951,11.627898465684,0,6.38652803557363,15.8199956432966,22.2065236788702,12.6435460315089,0
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,64.5628395917303,2.9566031422728,43.0110198218561,45.9676229641289,17.5952166276014,1,2.9566031422728,38.1898844478227,41.1464875900955,17.5952166276014,5.82113537403342,2.9566031422728,34.1002417760077,37.0568449182805,27.5059946734497,0,11.0305180418532,43.6215435040287,54.6520615458819,9.91077804584837,0,1.9566031422728,29.6090522768691,31.5656554191419,32.9971841725884,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,384.142016213221,35.0734303910132,284.355038454264,319.428468845278,49.3674267769491,15.3461205909948,34.0734303910132,184.438882577269,218.512312968282,165.629703244939,0,33.0734303910132,183.939108640428,217.012539031441,167.129477181781,0,57.2899762827795,300.373341683787,357.663317966567,26.4786982466548,0,34.0734303910132,270.088351813351,304.161782204364,65.3094674520392,14.6707665568183
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,76.4219470711602,4,49.546740947187,53.546740947187,22.8752061239731,0,3,41.0320917621133,44.0320917621133,32.3898553090469,0,2,36.3115384331973,38.3115384331973,38.1104086379629,0,13.5412342416671,57.1601595005771,70.7013937422442,5.72055332891598,0,8.82733825341624,42.9550055998203,51.7823438532366,24.6396032179236,0
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,276.175023813165,52.8243654430958,132.342486215196,185.166851658292,91.0081721548732,0,12.642121093468,126.651396177187,139.293517270655,123.680609064673,13.2008974778367,25.3897656619818,95.8477399656239,121.237505627606,154.937518185559,0,60.2734835270096,200.978936648625,261.252420175635,14.9226036375304,0,38.6234679652591,166.582370870239,205.205838835498,70.9691849776671,0
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,227.913649795331,20.0971836484248,135.039693256644,155.136876905069,64.1044779380237,8.67229495223801,20.0971836484248,106.528467608532,126.625651256957,101.287998538374,0,23.050297466436,113.778447729441,136.828745195877,91.0849045994537,0,28.3853541122962,183.994032400996,212.379386513292,15.534263282039,0,31.3853541122962,124.918630257113,156.30398436941,71.6096654259212,0
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,169.838248348246,18.0481384683859,124.265473284482,142.313611752868,27.524636595378,0,2,129.241888351368,131.241888351368,38.5963599968777,0,13.4550358722189,73.64448072427,87.0995165964889,82.7387317517569,0,3,141.890703137287,144.890703137287,12.6980718484999,12.2494733624587,35.8329843920622,87.94533382765,123.778318219712,46.0599301285336,0
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,207.872516216842,15.7064696748959,75.2338124347923,90.9402821096882,88.578470262528,28.3537638446256,10.2476987298844,92.9570720130646,103.204770742949,90.8323416139468,13.835403859946,7.39321605105993,101.20150733867,108.59472338973,72.2243863380022,27.05340648911,22.2953659900094,163.88260233148,186.177968321489,21.6945478953528,0,10.2476987298844,118.153613453246,128.401312183131,65.6358001737651,13.835403859946
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,130.075572344853,29.9236932044289,78.3557579765408,108.27945118097,21.7961211638837,0,4.07765865305877,45.087367447739,49.1650261007978,73.4979224700913,7.41262377396427,5.07765865305877,46.7517205458919,51.8293791989506,68.3328905170957,9.91330262880701,12.3918133617356,102.326608183709,114.718421545444,15.357150799409,0,6.6670919263109,90.0499543528587,96.7170462791696,33.3585260656837,0
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,212.243827732167,25.0003744343565,130.093041925648,155.093416360004,53.3934089714829,3.75700240067924,27.7573768350358,91.451461965725,119.208838800761,92.0349889314057,1,11.2154939841587,100.52406086902,111.739554853179,90.5973365782932,9.9069363006944,20.1451634606604,160.243078863454,180.388242324114,31.8555854080527,0,39.9590360620492,126.194529942344,166.153566004393,35.4696583819384,10.6206033458354
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,399.105208106476,22.2516990913493,274.101269372743,296.352968464092,79.3137911876079,23.4384484547755,2,163.337514368177,165.337514368177,210.008501029412,23.7591927088866,12.990822184498,208.680007775631,221.670829960129,165.790166688065,11.6442114582811,50.5545984787213,270.652236170557,321.206834649278,77.8983734571975,0,36.3878842839043,264.472577797725,300.86046208163,98.2447460248462,0
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,190.930962212399,3,144.326627615219,147.326627615219,41.6212457630025,1.98308883417837,2,109.794873733226,111.794873733226,65.9381380646256,13.1979504145479,1,125.293246620991,126.293246620991,64.637715591408,0,17.2393978534491,158.358664442465,175.598062295914,15.3328999164855,0,3,141.313918862657,144.313918862657,28.6038493433273,18.0131940064149
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,43.2661309500005,5.42661085101524,25.9267208166443,31.3533316676595,11.912799282341,0,0,13.3441214618942,13.3441214618942,27.9361584336162,1.98585105449016,0,15.3299725163843,15.3299725163843,27.9361584336162,0,0,37.8395200989853,37.8395200989853,5.42661085101524,0,0,16.3299725163843,16.3299725163843,26.9361584336162,0
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,136.782852596204,1,96.1115822038243,97.1115822038243,39.6712703923797,0,0,54.4828844969699,54.4828844969699,73.0811340351505,9.21883406408352,1,62.7017185610534,63.7017185610534,73.0811340351505,0,10.3515657341257,92.9834998850095,103.335065619135,33.4477869770686,0,12.1100324200813,96.7562788868864,108.866311306968,27.9165412892362,0
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,113.460479850557,0,76.3392366592495,76.3392366592495,37.1212431913079,0,0,21.486020625103,21.486020625103,84.2290174220995,7.7454418033549,2.69474108755485,35.1528322673068,37.8475733548617,75.6129064956957,0,7.8050346913619,85.6117031447369,93.4167378360988,20.0437420144587,0,3.69474108755485,69.0498781981241,72.7446192856789,40.7158605648785,0
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,66.9154749302389,0,59.2683916977395,59.2683916977395,6.64708323249936,1,0,41.1239480816199,41.1239480816199,23.791526848619,2,0,27.2552721792589,27.2552721792589,39.66020275098,0,32.1239480816186,32.1444436161209,64.2683916977395,2.64708323249936,0,16.2552721792576,29.5157591348617,45.7710313141193,19.1444436161196,2
