"tecnologia","categoria","asimetria_pp","par"
"Robótica","Fabricação de produtos têxteis",-6.2,"admin_producao"
"Robótica","Fabricação de produtos têxteis",0.2,"admin_projeto"
"Robótica","Fabricação de produtos têxteis",-6.4,"projeto_producao"
"Robótica","Confecção de artigos do vestuário e acessórios",-12.7,"admin_producao"
"Robótica","Confecção de artigos do vestuário e acessórios",-4.9,"admin_projeto"
"Robótica","Confecção de artigos do vestuário e acessórios",-7.8,"projeto_producao"
"Robótica","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",-15.4,"admin_producao"
"Robótica","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",-11.2,"admin_projeto"
"Robótica","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",-4.2,"projeto_producao"
"Robótica","Fabricação de produtos de madeira",-9.7,"admin_producao"
"Robótica","Fabricação de produtos de madeira",2.1,"admin_projeto"
"Robótica","Fabricação de produtos de madeira",-11.8,"projeto_producao"
"Robótica","Fabricação de celulose, papel e produtos de papel",-13.6,"admin_producao"
"Robótica","Fabricação de celulose, papel e produtos de papel",-1.5,"admin_projeto"
"Robótica","Fabricação de celulose, papel e produtos de papel",-12.1,"projeto_producao"
"Robótica","Impressão e reprodução de gravações",-11.8,"admin_producao"
"Robótica","Impressão e reprodução de gravações",-10,"admin_projeto"
"Robótica","Impressão e reprodução de gravações",-1.8,"projeto_producao"
"Robótica","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-15.8,"admin_producao"
"Robótica","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-4,"admin_projeto"
"Robótica","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-11.8,"projeto_producao"
"Robótica","Fabricação de produtos químicos",-16.7,"admin_producao"
"Robótica","Fabricação de produtos químicos",-5.4,"admin_projeto"
"Robótica","Fabricação de produtos químicos",-11.3,"projeto_producao"
"Robótica","Fabricação de produtos farmoquímicos e farmacêuticos",-16.3,"admin_producao"
"Robótica","Fabricação de produtos farmoquímicos e farmacêuticos",0.3,"admin_projeto"
"Robótica","Fabricação de produtos farmoquímicos e farmacêuticos",-16.6,"projeto_producao"
"Robótica","Fabricação de artigos de borracha e plástico",-28.5,"admin_producao"
"Robótica","Fabricação de artigos de borracha e plástico",-4.6,"admin_projeto"
"Robótica","Fabricação de artigos de borracha e plástico",-23.9,"projeto_producao"
"Robótica","Fabricação de produtos de minerais não-metálicos",-21.6,"admin_producao"
"Robótica","Fabricação de produtos de minerais não-metálicos",-2.9,"admin_projeto"
"Robótica","Fabricação de produtos de minerais não-metálicos",-18.7,"projeto_producao"
"Robótica","Metalurgia",-16.8,"admin_producao"
"Robótica","Metalurgia",-1.5,"admin_projeto"
"Robótica","Metalurgia",-15.3,"projeto_producao"
"Robótica","Fabricação de produtos de metal",-26.2,"admin_producao"
"Robótica","Fabricação de produtos de metal",-13.2,"admin_projeto"
"Robótica","Fabricação de produtos de metal",-13,"projeto_producao"
"Robótica","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-36,"admin_producao"
"Robótica","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-23.6,"admin_projeto"
"Robótica","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-12.4,"projeto_producao"
"Robótica","Fabricação de máquinas, aparelhos e materiais elétricos",-31.9,"admin_producao"
"Robótica","Fabricação de máquinas, aparelhos e materiais elétricos",-19.7,"admin_projeto"
"Robótica","Fabricação de máquinas, aparelhos e materiais elétricos",-12.2,"projeto_producao"
"Robótica","Fabricação de máquinas e equipamentos",-23.9,"admin_producao"
"Robótica","Fabricação de máquinas e equipamentos",-14.9,"admin_projeto"
"Robótica","Fabricação de máquinas e equipamentos",-9,"projeto_producao"
"Robótica","Fabricação de veículos automotores, reboques e carrocerias",-29.6,"admin_producao"
"Robótica","Fabricação de veículos automotores, reboques e carrocerias",-18,"admin_projeto"
"Robótica","Fabricação de veículos automotores, reboques e carrocerias",-11.6,"projeto_producao"
"Robótica","Fabricação de outros equipamentos de transporte",-37.6,"admin_producao"
"Robótica","Fabricação de outros equipamentos de transporte",-25.9,"admin_projeto"
"Robótica","Fabricação de outros equipamentos de transporte",-11.7,"projeto_producao"
"Robótica","Fabricação de móveis",-28.6,"admin_producao"
"Robótica","Fabricação de móveis",-12.4,"admin_projeto"
"Robótica","Fabricação de móveis",-16.2,"projeto_producao"
"Robótica","Fabricação de produtos diversos",-23.3,"admin_producao"
"Robótica","Fabricação de produtos diversos",-10.7,"admin_projeto"
"Robótica","Fabricação de produtos diversos",-12.6,"projeto_producao"
"Robótica","Manutenção, reparação e instalação de máquinas e equipamentos",-7.2,"admin_producao"
"Robótica","Manutenção, reparação e instalação de máquinas e equipamentos",-5.5,"admin_projeto"
"Robótica","Manutenção, reparação e instalação de máquinas e equipamentos",-1.7,"projeto_producao"
