"tecnologia","categoria","asimetria_pp","par"
"Cloud","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",21.9,"admin_producao"
"Cloud","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",3,"admin_projeto"
"Cloud","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",18.9,"projeto_producao"
"Cloud","Fabricação de produtos de madeira",11.9,"admin_producao"
"Cloud","Fabricação de produtos de madeira",24,"admin_projeto"
"Cloud","Fabricação de produtos de madeira",-12.1,"projeto_producao"
"Cloud","Fabricação de celulose, papel e produtos de papel",10,"admin_producao"
"Cloud","Fabricação de celulose, papel e produtos de papel",11.8,"admin_projeto"
"Cloud","Fabricação de celulose, papel e produtos de papel",-1.8,"projeto_producao"
"Cloud","Impressão e reprodução de gravações",16.1,"admin_producao"
"Cloud","Impressão e reprodução de gravações",17.4,"admin_projeto"
"Cloud","Impressão e reprodução de gravações",-1.3,"projeto_producao"
"Cloud","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",12.3,"admin_producao"
"Cloud","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",1.8,"admin_projeto"
"Cloud","Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",10.5,"projeto_producao"
"Cloud","Fabricação de produtos químicos",14.2,"admin_producao"
"Cloud","Fabricação de produtos químicos",10.2,"admin_projeto"
"Cloud","Fabricação de produtos químicos",4,"projeto_producao"
"Cloud","Fabricação de produtos farmoquímicos e farmacêuticos",14.1,"admin_producao"
"Cloud","Fabricação de produtos farmoquímicos e farmacêuticos",13.9,"admin_projeto"
"Cloud","Fabricação de produtos farmoquímicos e farmacêuticos",0.2,"projeto_producao"
"Cloud","Fabricação de artigos de borracha e plástico",19.3,"admin_producao"
"Cloud","Fabricação de artigos de borracha e plástico",22.7,"admin_projeto"
"Cloud","Fabricação de artigos de borracha e plástico",-3.4,"projeto_producao"
"Cloud","Fabricação de produtos de minerais não-metálicos",19.2,"admin_producao"
"Cloud","Fabricação de produtos de minerais não-metálicos",12.5,"admin_projeto"
"Cloud","Fabricação de produtos de minerais não-metálicos",6.7,"projeto_producao"
"Cloud","Metalurgia",12,"admin_producao"
"Cloud","Metalurgia",4,"admin_projeto"
"Cloud","Metalurgia",8,"projeto_producao"
"Cloud","Fabricação de produtos de metal",20.6,"admin_producao"
"Cloud","Fabricação de produtos de metal",23.7,"admin_projeto"
"Cloud","Fabricação de produtos de metal",-3.1,"projeto_producao"
"Cloud","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",13.1,"admin_producao"
"Cloud","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",-4.1,"admin_projeto"
"Cloud","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",17.2,"projeto_producao"
"Cloud","Fabricação de máquinas, aparelhos e materiais elétricos",16.3,"admin_producao"
"Cloud","Fabricação de máquinas, aparelhos e materiais elétricos",6.3,"admin_projeto"
"Cloud","Fabricação de máquinas, aparelhos e materiais elétricos",10,"projeto_producao"
"Cloud","Fabricação de máquinas e equipamentos",19.2,"admin_producao"
